,Широта будинку,Довгота будинку
399,50.467486,30.513148
400,50.467486,30.513148
401,50.467486,30.513148
402,50.4675772,30.5139555
403,50.4678968,30.5142089
404,50.4685782,30.5155012
405,50.4697471,30.5170461
406,50.4713997,30.5156431
407,50.4715649,30.5159955
408,50.4653418,30.5163114
409,50.466013,30.518157
410,50.4662108,30.5184966
411,50.4662,30.51846
412,50.4653938,30.5132752
413,50.465724,30.5142559
414,50.4665086,30.5158072
415,50.4665086,30.5158072
416,50.4665086,30.5158072
417,50.4666668,30.5162316
418,50.466846,30.51668
419,50.466846,30.51668
420,50.466846,30.51668
421,50.4664757,30.5154276
422,50.4681936,30.518722
423,50.4675329,30.5170049
424,50.467735,30.516862
425,50.47097,30.516205
426,50.4668306,30.5178166
427,50.5130597,30.4383991
428,50.5138361,30.437251
429,50.5136034,30.438004
430,50.5141499,30.4366262
431,50.5141033,30.440957
432,50.5145985,30.439549
433,50.5143503,30.4393288
434,50.50275,30.4284787
435,50.50275,30.4284787
436,50.5146559,30.4389637
437,50.5140275,30.4389809
438,50.5147797,30.4386115
439,50.5144569,30.4381098
440,50.5143249,30.4385672
441,50.5127612,30.4372724
442,50.511702,30.4360041
443,50.5119083,30.4355203
444,50.5109075,30.4350532
445,50.5103128,30.4358801
446,50.5097933,30.4359824
447,50.5114364,30.4347629
448,50.5104211,30.4344462
449,50.5101154,30.4350085
450,50.5097572,30.4337146
451,50.5091284,30.4331157
452,50.5099799,30.4330194
453,50.5094255,30.4323943
454,50.5131414,30.4370349
455,50.5141981,30.4347601
456,50.5129981,30.433285
457,50.51227,30.4327212
458,50.5118723,30.4316297
459,50.5115338,30.4322632
460,50.5110118,30.4309074
461,50.5107465,30.4299744
462,50.5109337,30.4290077
463,50.5091851,30.4316062
464,50.5097475,30.4318178
465,50.5098293,30.4307617
466,50.5104411,30.4306476
467,50.5108108,30.438477
468,50.5110215,30.4393031
469,50.5114032,30.4382635
470,50.5116536,30.4384889
471,50.5112731,30.4374914
472,50.5122161,30.4380819
473,50.5119506,30.4368405
474,50.5121521,30.4370855
475,50.5124377,30.4358462
476,50.5128928,30.4361985
477,50.4910011,30.4249595
478,50.4923223,30.4234643
479,50.4925297,30.4243662
480,50.4923486,30.4251491
481,50.4932468,30.42211
482,50.4923961,30.4228223
483,50.4933125,30.4215733
484,50.4926261,30.421252
485,50.4930839,30.4248371
486,50.4932814,30.423843
487,50.4932814,30.423843
488,50.4936188,30.4221319
489,50.4916379,30.4252984
490,50.4922501,30.425954
491,50.492498,30.4258661
492,50.4913868,30.405163
493,50.492544,30.4051627
494,50.4924598,30.4037553
495,50.4889663,30.4063814
496,50.4899501,30.4065968
497,50.4897029,30.4073005
498,50.4897202,30.4080128
499,50.4897375,30.4087253
500,50.4906215,30.4083602
501,50.4916859,30.4065966
502,50.4913891,30.4073178
503,50.4913733,30.4079909
504,50.491407,30.4086462
505,50.4913912,30.4093191
506,50.4931407,30.406645
507,50.4942568,30.4068647
508,50.4943984,30.4078411
509,50.4944158,30.4087076
510,50.4944002,30.4095345
511,50.4949426,30.4065698
512,50.4895067,30.4093719
513,50.4915623,30.4239392
514,50.4818257,30.4064522
515,50.4822808,30.4069581
516,50.4826108,30.4064304
517,50.4838506,30.4066061
518,50.483653,30.4072921
519,50.4836703,30.4080043
520,50.4836545,30.4086771
521,50.4838205,30.4093368
522,50.4845632,30.4083033
523,50.4856689,30.4066279
524,50.4875863,30.4066146
525,50.4873391,30.4073182
526,50.4873233,30.4079912
527,50.4873075,30.4086639
528,50.4874074,30.4093983
529,50.4882081,30.4083956
530,50.4798205,30.4174273
531,50.4795856,30.4139184
532,50.480283,30.40895
533,50.4813247,30.40935
534,50.480613,30.4084223
535,50.4818357,30.4080398
536,50.4818186,30.4074812
537,50.481537,30.406914
538,50.4942114,30.4395303
539,50.4929127,30.4227674
540,50.4931067,30.4272674
541,50.4939521,30.4475278
542,50.493864,30.447194
543,50.4943823,30.4480429
544,50.495696,30.426717
545,50.4955592,30.4274451
546,50.4956088,30.4276695
547,50.4955363,30.4288423
548,50.4952523,30.4298077
549,50.4951451,30.4302667
550,50.4959453,30.4311055
551,50.4961605,30.432135
552,50.5130662,30.4255569
553,50.5133894,30.4263669
554,50.5134564,30.4273702
555,50.513991,30.4240475
556,50.5144119,30.423128
557,50.5149414,30.4234538
558,50.5147773,30.4249501
559,50.5153572,30.4252525
560,50.5154398,30.4260506
561,50.5101024,30.429386
562,50.5150517,30.426702
563,50.515541,30.42848
564,50.5161687,30.4275385
565,50.5160664,30.4238766
566,50.5165546,30.4242685
567,50.516952,30.424898
568,50.5148476,30.4299587
569,50.5148217,30.4351151
570,50.5116062,30.4297725
571,50.5118368,30.4286634
572,50.5124982,30.4285317
573,50.4617747,30.5175959
574,50.4621465,30.5174651
575,50.4619565,30.5171216
576,50.4619081,30.5172269
577,50.46214,30.516583
578,50.4607047,30.5146214
579,50.4608498,30.5151003
580,50.4610813,30.5138389
581,50.4632396,30.5220205
582,50.462418,30.521061
583,50.4628314,30.5217897
584,50.4631354,30.521832
585,50.4615506,30.523831
586,50.4623105,30.5239738
587,50.4616746,30.5233256
588,50.4630327,30.5223659
589,50.4637411,30.5160315
590,50.4637411,30.5160315
591,50.4709046,30.5081208
592,50.4719209,30.5077626
593,50.4722927,30.5073238
594,50.4726976,30.5063087
595,50.4728433,30.5057331
596,50.471921,30.5056075
597,50.4720615,30.5053527
598,50.472268,30.5050234
599,50.4719701,30.5128253
600,50.4718959,30.5114661
601,50.4724909,30.5106406
602,50.4734826,30.5062886
603,50.4731851,30.5067014
604,50.470236,30.502774
605,50.4713672,30.5108314
606,50.4704749,30.5105299
607,50.4721933,30.5119771
608,50.4711688,30.511209
609,50.4724163,30.5131299
610,50.4744652,30.5152819
611,50.4752109,30.5085167
612,50.4752109,30.5085167
613,50.4748289,30.513255
614,50.4746307,30.5125551
615,50.4716978,30.5084569
616,50.472055,30.509033
617,50.4724661,30.5095717
618,50.4717968,30.5102694
619,50.4727553,30.5100343
620,50.4733254,30.5101413
621,50.473274,30.509617
622,50.4732593,30.5096001
623,50.4733419,30.5107001
624,50.4737055,30.5102127
625,50.4741104,30.5099675
626,50.474698,30.510185
627,50.4727018,30.5135193
628,50.4722591,30.5151352
629,50.4725483,30.5145202
630,50.4735931,30.5132604
631,50.474077,30.5131607
632,50.472945,30.5139188
633,50.4731516,30.5138972
634,50.4745066,30.5141382
635,50.4732888,30.5135704
636,50.4738897,30.5135993
637,50.4745066,30.5141382
638,50.4735899,30.5081495
639,50.4741104,30.5093517
640,50.4737469,30.509377
641,50.4737467,30.5109165
642,50.4741019,30.5122282
643,50.4734822,30.5121387
644,50.47411,30.5139701
645,50.474047,30.514935
646,50.4736804,30.5139162
647,50.4697769,30.5125362
648,50.4717303,30.5151162
649,50.4715321,30.5139545
650,50.4719946,30.5154336
651,50.4722012,30.5157201
652,50.4725812,30.5156375
653,50.472796,30.5159724
654,50.4732855,30.5086079
655,50.4730528,30.5083901
656,50.4730528,30.5083901
657,50.4736395,30.5087478
658,50.474377,30.508045
659,50.4742317,30.5087704
660,50.4746971,30.5087855
661,50.4746144,30.5095332
662,50.4858144,30.4715547
663,50.4860374,30.4711679
664,50.4863345,30.470139
665,50.4796928,30.4780284
666,50.4806101,30.4783203
667,50.4804197,30.4770533
668,50.4808744,30.4775598
669,50.4808907,30.4770408
670,50.4813779,30.4758936
671,50.4816779,30.4791641
672,50.4874831,30.4694765
673,50.4885569,30.4679165
674,50.488243,30.4682326
675,50.4880906,30.4687179
676,50.4818499,30.4789602
677,50.481588,30.478464
678,50.4821966,30.47776
679,50.4826345,30.4773999
680,50.4736958,30.4941552
681,50.4868007,30.4811641
682,50.4852785,30.4756449
683,50.4867749,30.4771695
684,50.4855762,30.4761557
685,50.4862465,30.4793066
686,50.4866432,30.4790125
687,50.4868335,30.4801259
688,50.4835933,30.47778
689,50.484843,30.4793541
690,50.4855691,30.4802646
691,50.4860982,30.4808989
692,50.4858747,30.4797459
693,50.4833037,30.4767019
694,50.4842292,30.4762722
695,50.4846916,30.4751338
696,50.4859617,30.467807
697,50.484515,30.4665732
698,50.4853746,30.466988
699,50.4841511,30.4659833
700,50.484258,30.4647649
701,50.4834897,30.4654985
702,50.4835927,30.464564
703,50.4834355,30.4642604
704,50.483756,30.4640074
705,50.4835014,30.4638007
706,50.4849116,30.4664332
707,50.483464,30.463198
708,50.4848041,30.4662658
709,50.4835464,30.4627582
710,50.4845393,30.4654867
711,50.4834759,30.46227
712,50.4836032,30.4618886
713,50.4834342,30.4613352
714,50.4833182,30.4608117
715,50.4832603,30.460627
716,50.4833511,30.4603125
717,50.4841748,30.4635113
718,50.4832104,30.4600286
719,50.4838936,30.4629435
720,50.483264,30.4597275
721,50.4831482,30.4595117
722,50.4843891,30.4621524
723,50.4830695,30.4592059
724,50.4838434,30.4615755
725,50.4838434,30.4615755
726,50.4830363,30.4589354
727,50.4830486,30.4586231
728,50.4837435,30.4600712
729,50.4837611,30.4600664
730,50.4837611,30.4600664
731,50.4829327,30.4582534
732,50.4829327,30.4582534
733,50.484115,30.4593238
734,50.4837184,30.459464
735,50.4835528,30.4588042
736,50.4837841,30.4586195
737,50.4828988,30.4566745
738,50.4834117,30.4576735
739,50.4834279,30.4570006
740,50.4834279,30.4570006
741,50.4832124,30.4557425
742,50.4843258,30.4688471
743,50.4847477,30.4700838
744,50.4849866,30.4681003
745,50.4846146,30.4677699
746,50.485771,30.4662318
747,50.4867727,30.4655661
748,50.4863331,30.466444
749,50.4865309,30.4651422
750,50.4867703,30.4645442
751,50.4869682,30.4633963
752,50.4871664,30.4631722
753,50.4872489,30.4628864
754,50.4870841,30.4639198
755,50.4874471,30.4625084
756,50.4872947,30.4635375
757,50.487464,30.463221
758,50.4876662,30.4627132
759,50.4877778,30.4625967
760,50.4878397,30.4624209
761,50.4878892,30.4622494
762,50.4880709,30.4619285
763,50.4883392,30.461423
764,50.4886225,30.4666099
765,50.4888703,30.4662143
766,50.4895475,30.4651023
767,50.4897457,30.4647242
768,50.4870693,30.4681342
769,50.4877466,30.4670223
770,50.4865075,30.468692
771,50.4826836,30.4560321
772,50.4823287,30.4568761
773,50.481812,30.4570541
774,50.4821556,30.4577073
775,50.482148,30.4585601
776,50.4865663,30.4711862
777,50.4868223,30.4706853
778,50.4867642,30.4698845
