,Широта школи,Довгота школи
267,50.4678642,30.5090895
268,50.4678642,30.5090895
269,50.4678642,30.5090895
270,50.4678642,30.5090895
271,50.4678642,30.5090895
272,50.4678642,30.5090895
273,50.4678642,30.5090895
274,50.4678642,30.5090895
275,50.4678642,30.5090895
276,50.4678642,30.5090895
277,50.4678642,30.5090895
278,50.4678642,30.5090895
279,50.4678642,30.5090895
280,50.4678642,30.5090895
281,50.4678642,30.5090895
282,50.4678642,30.5090895
283,50.4678642,30.5090895
284,50.4678642,30.5090895
285,50.4678642,30.5090895
286,50.4678642,30.5090895
287,50.4678642,30.5090895
288,50.4678642,30.5090895
289,50.4678642,30.5090895
290,50.4678642,30.5090895
291,50.4678642,30.5090895
292,50.4678642,30.5090895
293,50.4678642,30.5090895
294,50.4678642,30.5090895
295,50.4678642,30.5090895
296,50.4678642,30.5090895
297,50.4678642,30.5090895
298,50.4678642,30.5090895
299,50.4678642,30.5090895
300,50.4678642,30.5090895
301,50.4678642,30.5090895
302,50.4678642,30.5090895
303,50.4678642,30.5090895
304,50.4678642,30.5090895
305,50.4678642,30.5090895
306,50.4678642,30.5090895
307,50.4678642,30.5090895
308,50.4678642,30.5090895
309,50.4678642,30.5090895
310,50.4678642,30.5090895
311,50.4678642,30.5090895
312,50.4678642,30.5090895
313,50.4678642,30.5090895
314,50.4678642,30.5090895
315,50.4678642,30.5090895
316,50.4678642,30.5090895
317,50.4678642,30.5090895
318,50.4678642,30.5090895
319,50.4678642,30.5090895
320,50.4678642,30.5090895
321,50.4678642,30.5090895
322,50.4678642,30.5090895
323,50.4678642,30.5090895
324,50.4678642,30.5090895
325,50.4678642,30.5090895
326,50.4678642,30.5090895
327,50.4678642,30.5090895
328,50.4678642,30.5090895
329,50.4678642,30.5090895
330,50.4678642,30.5090895
331,50.4678642,30.5090895
332,50.467255,30.515865
333,50.467255,30.515865
334,50.467255,30.515865
335,50.467255,30.515865
336,50.467255,30.515865
337,50.467255,30.515865
338,50.467255,30.515865
339,50.467255,30.515865
340,50.467255,30.515865
341,50.467255,30.515865
342,50.467255,30.515865
343,50.467255,30.515865
344,50.467255,30.515865
345,50.467255,30.515865
346,50.467255,30.515865
347,50.467255,30.515865
348,50.467255,30.515865
349,50.467255,30.515865
350,50.467255,30.515865
351,50.467255,30.515865
352,50.467255,30.515865
353,50.467255,30.515865
354,50.467255,30.515865
355,50.467255,30.515865
356,50.467255,30.515865
357,50.467255,30.515865
358,50.467255,30.515865
359,50.467255,30.515865
360,50.467255,30.515865
361,50.467255,30.515865
362,50.467255,30.515865
363,50.467255,30.515865
364,50.467255,30.515865
365,50.467255,30.515865
366,50.467255,30.515865
367,50.467255,30.515865
368,50.467255,30.515865
369,50.467255,30.515865
370,50.467255,30.515865
371,50.467255,30.515865
372,50.467255,30.515865
373,50.467255,30.515865
374,50.467255,30.515865
375,50.467255,30.515865
376,50.467255,30.515865
377,50.467255,30.515865
378,50.467255,30.515865
379,50.467255,30.515865
380,50.467255,30.515865
381,50.467255,30.515865
382,50.467255,30.515865
383,50.467255,30.515865
384,50.467255,30.515865
385,50.467255,30.515865
386,50.467255,30.515865
387,50.467255,30.515865
388,50.467255,30.515865
389,50.467255,30.515865
390,50.467255,30.515865
391,50.467255,30.515865
392,50.467255,30.515865
393,50.467255,30.515865
394,50.467255,30.515865
395,50.467255,30.515865
396,50.467255,30.515865
397,50.467255,30.515865
398,50.467255,30.515865
399,50.467255,30.515865
400,50.467255,30.515865
401,50.467255,30.515865
402,50.467255,30.515865
403,50.467255,30.515865
404,50.467255,30.515865
405,50.467255,30.515865
406,50.467255,30.515865
407,50.467255,30.515865
408,50.467255,30.515865
409,50.467255,30.515865
410,50.467255,30.515865
411,50.467255,30.515865
412,50.467255,30.515865
413,50.467255,30.515865
414,50.467255,30.515865
415,50.467255,30.515865
416,50.467255,30.515865
417,50.467255,30.515865
418,50.467255,30.515865
419,50.467255,30.515865
420,50.467255,30.515865
421,50.467255,30.515865
422,50.467255,30.515865
423,50.467255,30.515865
424,50.467255,30.515865
425,50.467255,30.515865
426,50.467255,30.515865
427,50.5108319,30.4335391
428,50.5108319,30.4335391
429,50.5108319,30.4335391
430,50.5108319,30.4335391
431,50.5108319,30.4335391
432,50.5108319,30.4335391
433,50.5108319,30.4335391
434,50.5108319,30.4335391
435,50.5108319,30.4335391
436,50.5108319,30.4335391
437,50.5108319,30.4335391
438,50.5108319,30.4335391
439,50.5108319,30.4335391
440,50.5108319,30.4335391
441,50.5108319,30.4335391
442,50.5108319,30.4335391
443,50.5108319,30.4335391
444,50.5108319,30.4335391
445,50.5108319,30.4335391
446,50.5108319,30.4335391
447,50.5108319,30.4335391
448,50.5108319,30.4335391
449,50.5108319,30.4335391
450,50.5108319,30.4335391
451,50.5108319,30.4335391
452,50.5108319,30.4335391
453,50.5108319,30.4335391
454,50.5108319,30.4335391
455,50.5108319,30.4335391
456,50.5108319,30.4335391
457,50.5108319,30.4335391
458,50.5108319,30.4335391
459,50.5108319,30.4335391
460,50.5108319,30.4335391
461,50.5108319,30.4335391
462,50.5108319,30.4335391
463,50.5108319,30.4335391
464,50.5108319,30.4335391
465,50.5108319,30.4335391
466,50.5108319,30.4335391
467,50.5108319,30.4335391
468,50.5108319,30.4335391
469,50.5108319,30.4335391
470,50.5108319,30.4335391
471,50.5108319,30.4335391
472,50.5108319,30.4335391
473,50.5108319,30.4335391
474,50.5108319,30.4335391
475,50.5108319,30.4335391
476,50.5108319,30.4335391
477,50.493137,30.4080129
478,50.493137,30.4080129
479,50.493137,30.4080129
480,50.493137,30.4080129
481,50.493137,30.4080129
482,50.493137,30.4080129
483,50.493137,30.4080129
484,50.493137,30.4080129
485,50.493137,30.4080129
486,50.493137,30.4080129
487,50.493137,30.4080129
488,50.493137,30.4080129
489,50.493137,30.4080129
490,50.493137,30.4080129
491,50.493137,30.4080129
492,50.493137,30.4080129
493,50.493137,30.4080129
494,50.493137,30.4080129
495,50.493137,30.4080129
496,50.493137,30.4080129
497,50.493137,30.4080129
498,50.493137,30.4080129
499,50.493137,30.4080129
500,50.493137,30.4080129
501,50.493137,30.4080129
502,50.493137,30.4080129
503,50.493137,30.4080129
504,50.493137,30.4080129
505,50.493137,30.4080129
506,50.493137,30.4080129
507,50.493137,30.4080129
508,50.493137,30.4080129
509,50.493137,30.4080129
510,50.493137,30.4080129
511,50.493137,30.4080129
512,50.493137,30.4080129
513,50.493137,30.4080129
514,50.4853979,30.4082638
515,50.4853979,30.4082638
516,50.4853979,30.4082638
517,50.4853979,30.4082638
518,50.4853979,30.4082638
519,50.4853979,30.4082638
520,50.4853979,30.4082638
521,50.4853979,30.4082638
522,50.4853979,30.4082638
523,50.4853979,30.4082638
524,50.4853979,30.4082638
525,50.4853979,30.4082638
526,50.4853979,30.4082638
527,50.4853979,30.4082638
528,50.4853979,30.4082638
529,50.4853979,30.4082638
530,50.4853979,30.4082638
531,50.4853979,30.4082638
532,50.4853979,30.4082638
533,50.4853979,30.4082638
534,50.4853979,30.4082638
535,50.4853979,30.4082638
536,50.4853979,30.4082638
537,50.4853979,30.4082638
538,50.4918368,30.4362645
539,50.4918368,30.4362645
540,50.4918368,30.4362645
541,50.4918368,30.4362645
542,50.4918368,30.4362645
543,50.4918368,30.4362645
544,50.4918368,30.4362645
545,50.4918368,30.4362645
546,50.4918368,30.4362645
547,50.4918368,30.4362645
548,50.4918368,30.4362645
549,50.4918368,30.4362645
550,50.4918368,30.4362645
551,50.4918368,30.4362645
552,50.5161375,30.4298096
553,50.5161375,30.4298096
554,50.5161375,30.4298096
555,50.5161375,30.4298096
556,50.5161375,30.4298096
557,50.5161375,30.4298096
558,50.5161375,30.4298096
559,50.5161375,30.4298096
560,50.5161375,30.4298096
561,50.5161375,30.4298096
562,50.5161375,30.4298096
563,50.5161375,30.4298096
564,50.5161375,30.4298096
565,50.5161375,30.4298096
566,50.5161375,30.4298096
567,50.5161375,30.4298096
568,50.5161375,30.4298096
569,50.5161375,30.4298096
570,50.5161375,30.4298096
571,50.5161375,30.4298096
572,50.5161375,30.4298096
573,50.4611218,30.5197753
574,50.4611218,30.5197753
575,50.4611218,30.5197753
576,50.4611218,30.5197753
577,50.4611218,30.5197753
578,50.4611218,30.5197753
579,50.4611218,30.5197753
580,50.4611218,30.5197753
581,50.4611218,30.5197753
582,50.4611218,30.5197753
583,50.4611218,30.5197753
584,50.4611218,30.5197753
