,"Відстань до школи, км",Менше за 0.8км,geometry
489,1.92621777223881,False,POINT (30.4252984 50.49163789999999)
490,1.9955175552647304,False,POINT (30.425954 50.4922501)
491,1.9848836885783607,False,POINT (30.4258661 50.492498)
492,0.35837510412317714,True,POINT (30.405163 50.49138679999999)
493,0.32178745546622806,True,POINT (30.4051627 50.492544)
494,0.4775572854592116,True,POINT (30.4037553 50.4924598)
495,0.43891394863256955,True,POINT (30.4063814 50.48896629999999)
496,0.34358704187085753,True,POINT (30.4065968 50.4899501)
497,0.3385093180176886,True,POINT (30.4073005 50.4897029)
498,0.32746291472890177,True,POINT (30.4080128 50.48972020000001)
499,0.33528381799729234,True,POINT (30.4087253 50.4897375)
500,0.24415233725515995,True,POINT (30.4083602 50.4906215)
501,0.21002816463295088,True,POINT (30.4065966 50.4916859)
502,0.18446861513427382,True,POINT (30.4073178 50.4913891)
503,0.1690490551617597,True,POINT (30.4079909 50.49137329999999)
504,0.18011857695194194,True,POINT (30.4086462 50.491407)
505,0.22150216449168653,True,POINT (30.4093191 50.4913912)
506,0.15200845633767887,True,POINT (30.406645 50.4931407)
507,0.16672742763207996,True,POINT (30.4068647 50.4942568)
508,0.12238967584841624,True,POINT (30.4078411 50.4943984)
509,0.14484552733950995,True,POINT (30.4087076 50.4944158)
510,0.20795909058722717,True,POINT (30.4095345 50.4944002)
511,0.23592908498701787,True,POINT (30.4065698 50.4949426)
512,0.37928427037656304,True,POINT (30.4093719 50.48950670000001)
513,1.7762338250267706,False,POINT (30.4239392 50.4915623)
514,0.39716097681211304,True,POINT (30.4064522 50.4818257)
515,0.3321131697749068,True,POINT (30.4069581 50.4822808)
516,0.3359449872310277,True,POINT (30.4064304 50.4826108)
517,0.2364842733904994,True,POINT (30.4066061 50.4838506)
518,0.19906181791235525,True,POINT (30.4072921 50.483653)
519,0.16806381673834064,True,POINT (30.4080043 50.4836703)
520,0.17328240848194168,True,POINT (30.4086771 50.4836545)
521,0.19253960250858146,True,POINT (30.4093368 50.4838205)
522,0.0801169796194462,True,POINT (30.4083033 50.4845632)
523,0.18363556733510805,True,POINT (30.4066279 50.4856689)
524,0.2785245862582681,True,POINT (30.4066146 50.4875863)
525,0.21366764954472375,True,POINT (30.4073182 50.4873391)
526,0.18699825665578848,True,POINT (30.4079912 50.48732329999999)
527,0.18833669499470584,True,POINT (30.4086639 50.4873075)
528,0.23018200461258456,True,POINT (30.4093983 50.4874074)
529,0.2697240119279562,True,POINT (30.4083956 50.4882081)
530,1.150052903635058,False,POINT (30.4174273 50.4798205)
531,0.8397180644531244,False,POINT (30.4139184 50.4795856)
532,0.49609967133758837,True,POINT (30.40895 50.480283)
533,0.40860377630710715,True,POINT (30.40935 50.4813247)
534,0.4589169134873933,True,POINT (30.4084223 50.480613)
535,0.3423036914256592,True,POINT (30.4080398 50.4818357)
536,0.353889436501552,True,POINT (30.4074812 50.4818186)
537,0.3992727451277085,True,POINT (30.406914 50.481537)
