,Адреса будинку,Адреса школи
228,"Україна, м.Київ, Подільський район, вул. Юрківська, 8/12","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
229,"Україна, м.Київ, Подільський район, вул. Юрківська, 12/59","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
230,"Україна, м.Київ, Подільський район, вул. Щекавицька, 7/10","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
231,"Україна, м.Київ, Подільський район, вул. Щекавицька, 21","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
232,"Україна, м.Київ, Подільський район, вул. Воздвиженська, 1б","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
233,"Україна, м.Київ, Подільський район, вул. Воздвиженська, 3","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
234,"Україна, м.Київ, Подільський район, вул. Воздвиженська, 9/19","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
235,"Україна, м.Київ, Подільський район, вул. Воздвиженська, 10б","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
236,"Україна, м.Київ, Подільський район, вул. Воздвиженська, 25","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
237,"Україна, м.Київ, Подільський район, вул. Воздвиженська, 27","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
238,"Україна, м.Київ, Подільський район, вул. Воздвиженська, 29","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
239,"Україна, м.Київ, Подільський район, вул. Воздвиженська, 29а","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
240,"Україна, м.Київ, Подільський район, вул. Воздвиженська, 29б","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
241,"Україна, м.Київ, Подільський район, вул. Воздвиженська, 37г","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
242,"Україна, м.Київ, Подільський район, вул. Костянтинівська, 20","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
243,"Україна, м.Київ, Подільський район, вул. Костянтинівська, 21/12а","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
244,"Україна, м.Київ, Подільський район, вул. Костянтинівська, 22/17а","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
245,"Україна, м.Київ, Подільський район, вул. Костянтинівська, 24а","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
246,"Україна, м.Київ, Подільський район, вул. Костянтинівська, 25","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
247,"Україна, м.Київ, Подільський район, вул. Костянтинівська, 27","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
248,"Україна, м.Київ, Подільський район, вул. Костянтинівська, 27а","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
249,"Україна, м.Київ, Подільський район, вул. Костянтинівська, 27б","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
250,"Україна, м.Київ, Подільський район, вул. Костянтинівська, 46/52","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
251,"Україна, м.Київ, Подільський район, вул. Нижній Вал, 17а","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
252,"Україна, м.Київ, Подільський район, вул. Нижній Вал, 19/21д","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
253,"Україна, м.Київ, Подільський район, вул. Нижній Вал, 19/21Е","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
254,"Україна, м.Київ, Подільський район, вул. Нижній Вал, 23а","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
255,"Україна, м.Київ, Подільський район, вул. Нижній Вал, 23б","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
256,"Україна, м.Київ, Подільський район, вул. Нижній Вал, 23в","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
257,"Україна, м.Київ, Подільський район, вул. Оболонська, 3","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
258,"Україна, м.Київ, Подільський район, вул. Оболонська, 4а","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
259,"Україна, м.Київ, Подільський район, вул. Оболонська, 6","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
260,"Україна, м.Київ, Подільський район, вул. Оболонська, 7а","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
261,"Україна, м.Київ, Подільський район, вул. Оболонська, 9а","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
262,"Україна, м.Київ, Подільський район, вул. Оболонська, 12","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
263,"Україна, м.Київ, Подільський район, вул. Оболонська, 13","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
264,"Україна, м.Київ, Подільський район, вул. Кирилівська, 2/9а","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
265,"Україна, м.Київ, Подільський район, вул. Кирилівська, 14-18","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
266,"Україна, м.Київ, Подільський район, вул. Кирилівська, 15","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
267,"Україна, м.Київ, Подільський район, вул. Кирилівська, 15г","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
268,"Україна, м.Київ, Подільський район, вул. Кирилівська, 20","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
269,"Україна, м.Київ, Подільський район, вул. Кирилівська, 20а","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
270,"Україна, м.Київ, Подільський район, вул. Кирилівська, 24а","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
271,"Україна, м.Київ, Подільський район, вул. Кирилівська, 24б","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
272,"Україна, м.Київ, Подільський район, вул. Кирилівська, 30/5","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
273,"Україна, м.Київ, Подільський район, вул. Кирилівська, 31","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
274,"Україна, м.Київ, Подільський район, вул. Кирилівська, 31б","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
275,"Україна, м.Київ, Подільський район, вул. Кирилівська, 31в","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
276,"Україна, м.Київ, Подільський район, вул.Хорива, 2а","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
277,"Україна, м.Київ, Подільський район, вул.Хорива, 4а","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
278,"Україна, м.Київ, Подільський район, вул.Хорива, 6","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
279,"Україна, м.Київ, Подільський район, вул.Хорива, 7а","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
280,"Україна, м.Київ, Подільський район, вул. Межигірська, 24а","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
281,"Україна, м.Київ, Подільський район, вул. Межигірська, 28/27","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
282,"Україна, м.Київ, Подільський район, вул. Межигірська, 28","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
283,"Україна, м.Київ, Подільський район, вул. Межигірська, 25","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
284,"Україна, м.Київ, Подільський район, вул. Ярославська, 10","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
285,"Україна, м.Київ, Подільський район, вул. Ярославська, 11а","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
286,"Україна, м.Київ, Подільський район, вул. Ярославська, 15/23","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
287,"Україна, м.Київ, Подільський район, вул. Ярославська, 20а","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
288,"Україна, м.Київ, Подільський район, вул. Ярославська, 20б","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
289,"Україна, м.Київ, Подільський район, вул. Ярославська, 21","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
290,"Україна, м.Київ, Подільський район, вул. Ярославська, 26","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
291,"Україна, м.Київ, Подільський район, вул. Ярославська, 28а","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
292,"Україна, м.Київ, Подільський район, вул. Ярославська, 29","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
293,"Україна, м.Київ, Подільський район, вул. Ярославська, 30б","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
294,"Україна, м.Київ, Подільський район, вул. Ярославська, 31","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
295,"Україна, м.Київ, Подільський район, вул. Ярославська, 32/33","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
296,"Україна, м.Київ, Подільський район, вул. Ярославська, 32а","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
297,"Україна, м.Київ, Подільський район, вул. Ярославська, 35/35а","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
298,"Україна, м.Київ, Подільський район, вул. Ярославська, 35/35б","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
299,"Україна, м.Київ, Подільський район, вул. Ярославська, 39а","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
300,"Україна, м.Київ, Подільський район, вул. Ярославська, 39в","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
301,"Україна, м.Київ, Подільський район, провулок Цимлянський, 18","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
302,"Україна, м.Київ, Подільський район, вул. Дегтярна, 5","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
303,"Україна, м.Київ, Подільський район, вул. Дегтярна, 27","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
304,"Україна, м.Київ, Подільський район, вул. Дегтярна, 30","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
305,"Україна, м.Київ, Подільський район, вул. Кожум'яцька, 10а","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
306,"Україна, м.Київ, Подільський район, вул. Кожум'яцька, 12","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
307,"Україна, м.Київ, Подільський район, вул. Кожум'яцька, 12а","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
308,"Україна, м.Київ, Подільський район, вул. Кожум'яцька, 12в","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
309,"Україна, м.Київ, Подільський район, вул. Кожум'яцька, 12д","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
310,"Україна, м.Київ, Подільський район, вул. Кожум'яцька, 12г","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
311,"Україна, м.Київ, Подільський район, вул. Кожум'яцька, 12ж","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
312,"Україна, м.Київ, Подільський район, вул. Кожум'яцька, 14а","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
313,"Україна, м.Київ, Подільський район, вул. Кожум'яцька, 14","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
314,"Україна, м.Київ, Подільський район, вул. Кожум'яцька, 14б","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
315,"Україна, м.Київ, Подільський район, вул. Кожум'яцька, 14в","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
316,"Україна, м.Київ, Подільський район, вул. Кожум'яцька, 14д","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
317,"Україна, м.Київ, Подільський район, вул. Кожум'яцька, 16","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
318,"Україна, м.Київ, Подільський район, вул. Кожум'яцька, 16а","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
319,"Україна, м.Київ, Подільський район, вул. Кожум'яцька, 16б","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
320,"Україна, м.Київ, Подільський район, вул. Кожум'яцька, 16в","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
321,"Україна, м.Київ, Подільський район, вул. Кожум'яцька, 18","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
322,"Україна, м.Київ, Подільський район, вул. Кожум'яцька, 18а","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
323,"Україна, м.Київ, Подільський район, вул. Кожум'яцька, 20","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
324,"Україна, м.Київ, Подільський район, вул. Кожум'яцька, 20а","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
325,"Україна, м.Київ, Подільський район, вул. Кожум'яцька, 20б","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
326,"Україна, м.Київ, Подільський район, вул. Кожум'яцька, 20в","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
327,"Україна, м.Київ, Подільський район, вул. Кожум'яцька, 20г","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
328,"Україна, м.Київ, Подільський район, вул. Кожум'яцька, 22","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
329,"Україна, м.Київ, Подільський район, вул. Кожум'яцька, 22а","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
330,"Україна, м.Київ, Подільський район, вул. Кожум'яцька, 22","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
331,"Україна, м.Київ, Подільський район, вул. Кожум'яцька, 14г","Україна, м.Київ, Подільський район, вул. Кирилівська, 8"
332,"Україна, м.Київ, Подільський район, вул. Верхній Вал, 32","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
333,"Україна, м.Київ, Подільський район, вул. Верхній Вал, 40а","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
334,"Україна, м.Київ, Подільський район, вул. Верхній Вал, 40б","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
335,"Україна, м.Київ, Подільський район, вул. Верхній Вал, 40в","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
336,"Україна, м.Київ, Подільський район, вул. Верхній Вал, 44","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
337,"Україна, м.Київ, Подільський район, вул. Верхній Вал, 48/28а","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
338,"Україна, м.Київ, Подільський район, вул. Верхній Вал, 48/28б","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
339,"Україна, м.Київ, Подільський район, вул. Верхній Вал, 50а","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
340,"Україна, м.Київ, Подільський район, вул. Верхній Вал, 50б","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
341,"Україна, м.Київ, Подільський район, вул. Верхній Вал, 52в","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
342,"Україна, м.Київ, Подільський район, вул. Верхній Вал, 54/23","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
343,"Україна, м.Київ, Подільський район, вул. Воздвиженська, 31а секція 1","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
344,"Україна, м.Київ, Подільський район, вул. Воздвиженська, 31а","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
345,"Україна, м.Київ, Подільський район, вул. Воздвиженська, 33","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
346,"Україна, м.Київ, Подільський район, вул. Волоська, 2/19в","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
347,"Україна, м.Київ, Подільський район, вул. Волоська, 4","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
348,"Україна, м.Київ, Подільський район, вул. Волоська, 36/38","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
349,"Україна, м.Київ, Подільський район, вул. Волоська, 37а","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
350,"Україна, м.Київ, Подільський район, вул. Волоська, 37б","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
351,"Україна, м.Київ, Подільський район, вул. Волоська, 42","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
352,"Україна, м.Київ, Подільський район, вул. Волоська, 43/35","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
353,"Україна, м.Київ, Подільський район, вул. Волоська, 44","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
354,"Україна, м.Київ, Подільський район, вул. Волоська, 46/32","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
355,"Україна, м.Київ, Подільський район, вул. Гончарна, 3","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
356,"Україна, м.Київ, Подільський район, вул. Гончарна, 7а","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
357,"Україна, м.Київ, Подільський район, вул. Гончарна, 7б","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
358,"Україна, м.Київ, Подільський район, вул. Гончарна, 8","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
359,"Україна, м.Київ, Подільський район, вул. Гончарна, 9а","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
360,"Україна, м.Київ, Подільський район, вул. Гончарна, 10","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
361,"Україна, м.Київ, Подільський район, вул. Гончарна, 11а","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
362,"Україна, м.Київ, Подільський район, вул. Гончарна, 11б","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
363,"Україна, м.Київ, Подільський район, вул. Гончарна, 11в","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
364,"Україна, м.Київ, Подільський район, вул. Гончарна, 12","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
365,"Україна, м.Київ, Подільський район, вул. Гончарна, 12а","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
366,"Україна, м.Київ, Подільський район, вул. Гончарна, 12в","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
367,"Україна, м.Київ, Подільський район, вул. Гончарна, 13а","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
368,"Україна, м.Київ, Подільський район, вул. Гончарна, 13б","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
369,"Україна, м.Київ, Подільський район, вул. Гончарна, 14","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
370,"Україна, м.Київ, Подільський район, вул. Гончарна, 15а","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
371,"Україна, м.Київ, Подільський район, вул. Гончарна, 15б","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
372,"Україна, м.Київ, Подільський район, вул. Гончарна, 16","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
373,"Україна, м.Київ, Подільський район, вул. Гончарна, 17а","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
374,"Україна, м.Київ, Подільський район, вул. Гончарна, 17б","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
375,"Україна, м.Київ, Подільський район, вул. Гончарна, 18","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
376,"Україна, м.Київ, Подільський район, вул. Гончарна, 18а","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
377,"Україна, м.Київ, Подільський район, вул. Гончарна, 18б","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
378,"Україна, м.Київ, Подільський район, вул. Гончарна, 20","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
379,"Україна, м.Київ, Подільський район, вул. Гончарна, 22","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
380,"Україна, м.Київ, Подільський район, вул. Дегтярна, 725","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
381,"Україна, м.Київ, Подільський район, вул. Дегтярна, 29","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
382,"Україна, м.Київ, Подільський район, вул. Дегтярна, 31","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
383,"Україна, м.Київ, Подільський район, вул. Дегтярна, 628","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
384,"Україна, м.Київ, Подільський район, вул. Дегтярна, 32","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
385,"Україна, м.Київ, Подільський район, вул. Дегтярна, 24-34","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
386,"Україна, м.Київ, Подільський район, вул. Електриків, 33","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
387,"Україна, м.Київ, Подільський район, вул. Кожумяцька, 14","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
388,"Україна, м.Київ, Подільський район, вул. Кожумяцька, 24-34","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
389,"Україна, м.Київ, Подільський район, вул. Костянтинівська, 5","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
390,"Україна, м.Київ, Подільський район, вул. Костянтинівська, 10а","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
391,"Україна, м.Київ, Подільський район, вул. Межигірська, 13/34а","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
392,"Україна, м.Київ, Подільський район, вул. Межигірська, 13б","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
393,"Україна, м.Київ, Подільський район, вул. Межигірська, 17","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
394,"Україна, м.Київ, Подільський район, вул. Межигірська, 19а","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
395,"Україна, м.Київ, Подільський район, вул. Межигірська, 19а","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
396,"Україна, м.Київ, Подільський район, вул. Межигірська, 20","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
397,"Україна, м.Київ, Подільський район, вул. Межигірська, 22","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
398,"Україна, м.Київ, Подільський район, вул. Нижній Вал, 33а","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
399,"Україна, м.Київ, Подільський район, вул. Нижній Вал, 33б","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
400,"Україна, м.Київ, Подільський район, вул. Нижній Вал, 33в","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
401,"Україна, м.Київ, Подільський район, вул. Нижній Вал, 33г","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
402,"Україна, м.Київ, Подільський район, вул. Нижній Вал, 35","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
403,"Україна, м.Київ, Подільський район, вул. Нижній Вал, 37/20а","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
404,"Україна, м.Київ, Подільський район, вул. Нижній Вал, 41","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
405,"Україна, м.Київ, Подільський район, вул. Нижній Вал, 49","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
406,"Україна, м.Київ, Подільський район, вул. Почайнінська, 35","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
407,"Україна, м.Київ, Подільський район, вул. Почайнінська, 44","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
408,"Україна, м.Київ, Подільський район, вул. Спаська, 5","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
409,"Україна, м.Київ, Подільський район, вул. Спаська, 6а","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
410,"Україна, м.Київ, Подільський район, вул. Спаська, 8а","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
411,"Україна, м.Київ, Подільський район, вул. Спаська, 8б","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
412,"Україна, м.Київ, Подільський район, вул. Хорива, 9а","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
413,"Україна, м.Київ, Подільський район, вул. Хорива, 15/8","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
414,"Україна, м.Київ, Подільський район, вул. Хорива, 16","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
415,"Україна, м.Київ, Подільський район, вул. Хорива, 16в","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
416,"Україна, м.Київ, Подільський район, вул. Хорива, 16/г","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
417,"Україна, м.Київ, Подільський район, вул. Хорива, 18а","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
418,"Україна, м.Київ, Подільський район, вул. Хорива, 18/10а","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
419,"Україна, м.Київ, Подільський район, вул. Хорива, 18/10а","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
420,"Україна, м.Київ, Подільський район, вул. Хорива, 18/10б","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
421,"Україна, м.Київ, Подільський район, вул. Хорива, 23/9а","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
422,"Україна, м.Київ, Подільський район, вул. Хорива, 22/28","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
423,"Україна, м.Київ, Подільський район, вул. Хорива, 31а","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
424,"Україна, м.Київ, Подільський район, вул. Хорива, 31б","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
425,"Україна, м.Київ, Подільський район, вул. Ярославська, 47/29а","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
426,"Україна, м.Київ, Подільський район, провулок Хоривий, 4","Україна, м.Київ, Подільський район, вул. Межигірська, 16"
427,"Україна, м.Київ, Подільський район, вул. Їжакевича, 5/9","Україна, м.Київ, Подільський район, вул. Межова, 22"
428,"Україна, м.Київ, Подільський район, вул. Їжакевича, 7/10","Україна, м.Київ, Подільський район, вул. Межова, 22"
429,"Україна, м.Київ, Подільський район, вул. Їжакевича, 8/7","Україна, м.Київ, Подільський район, вул. Межова, 22"
430,"Україна, м.Київ, Подільський район, вул. Їжакевича, 9","Україна, м.Київ, Подільський район, вул. Межова, 22"
431,"Україна, м.Київ, Подільський район, провулок Бестужева, 20","Україна, м.Київ, Подільський район, вул. Межова, 22"
432,"Україна, м.Київ, Подільський район, вул. Межова, 3","Україна, м.Київ, Подільський район, вул. Межова, 22"
433,"Україна, м.Київ, Подільський район, вул. Межова, 3а","Україна, м.Київ, Подільський район, вул. Межова, 22"
434,"Україна, м.Київ, Подільський район, вул. Межова, Зб","Україна, м.Київ, Подільський район, вул. Межова, 22"
435,"Україна, м.Київ, Подільський район, вул. Межова, Зв","Україна, м.Київ, Подільський район, вул. Межова, 22"
436,"Україна, м.Київ, Подільський район, вул. Межова, 4","Україна, м.Київ, Подільський район, вул. Межова, 22"
437,"Україна, м.Київ, Подільський район, вул. Межова, 5","Україна, м.Київ, Подільський район, вул. Межова, 22"
438,"Україна, м.Київ, Подільський район, вул. Межова, 6","Україна, м.Київ, Подільський район, вул. Межова, 22"
439,"Україна, м.Київ, Подільський район, вул. Межова, 8","Україна, м.Київ, Подільський район, вул. Межова, 22"
440,"Україна, м.Київ, Подільський район, вул. Межова, 10","Україна, м.Київ, Подільський район, вул. Межова, 22"
441,"Україна, м.Київ, Подільський район, вул. Межова, 11/12","Україна, м.Київ, Подільський район, вул. Межова, 22"
442,"Україна, м.Київ, Подільський район, вул. Межова, 15","Україна, м.Київ, Подільський район, вул. Межова, 22"
443,"Україна, м.Київ, Подільський район, вул. Межова, 18","Україна, м.Київ, Подільський район, вул. Межова, 22"
444,"Україна, м.Київ, Подільський район, вул. Межова, 19","Україна, м.Київ, Подільський район, вул. Межова, 22"
445,"Україна, м.Київ, Подільський район, вул. Межова, 19а","Україна, м.Київ, Подільський район, вул. Межова, 22"
446,"Україна, м.Київ, Подільський район, вул. Межова, 19б","Україна, м.Київ, Подільський район, вул. Межова, 22"
447,"Україна, м.Київ, Подільський район, вул. Межова, 20","Україна, м.Київ, Подільський район, вул. Межова, 22"
448,"Україна, м.Київ, Подільський район, вул. Межова, 21","Україна, м.Київ, Подільський район, вул. Межова, 22"
449,"Україна, м.Київ, Подільський район, вул. Межова, 21а","Україна, м.Київ, Подільський район, вул. Межова, 22"
